NCTETID	SCHOOLYEAR_SP	SPRINGTQ_11	SPRINGTQ_12	SPRINGTQ_13	SURVEY_GRADE	NMO01	NMO02_2011	NMO02_2012	NMO02_2013	NMO03_2011	NMO03_2012	NMO03_2013	NMO04_2011	NMO04_2012	NMO04_2013	NMO05_2011	NMO05_2012	NMO05_2013	NMO06_2011	NMO06_2012	NMO06_2013	NMO07_2011	NMO07_2012	NMO07_2013	NMO08_2011	NMO08_2012	NMO08_2013	NMO09_2011	NMO09_2012	NMO09_2013	NMO10_2011	NMO10_2012	NMO10_2013	NMO11_2011	NMO11_2012	NMO11_2013	NMO12_2011	NMO12_2012	NMO12_2013	NMO13_2011	NMO13_2012	NMO13_2013	NMO14_2011	NMO14_2012	NMO14_2013	NMO15_2011	NMO15_2012	NMO15_2013	NMO16_2011	NMO16_2012	NMO16_2013	ALG01_2011	ALG01_2012	ALG01_2013	ALG02_2011	ALG02_2012	ALG02_2013	ALG03_2011	ALG03_2012	ALG03_2013	ALG04_2011	ALG04_2012	ALG04_2013	ALG05_2011	ALG05_2012	ALG05_2013	ALG06_2011	ALG06_2012	ALG06_2013	ALG07	ALG08_2011	ALG08_2012	ALG08_2013	ALG09	GEO01	GEO02	GEO03	GEO04	GEO05	GEO06	GEO07	GEO08	SOL01	SOL02	SOL03	SOL04	SOL05	STL01_SP	STL02_SP	STL03_SP	STL04_SP	STL05_SP	STL06_SP	STL07_SP	SCC01_SP	SCC02_SP	SCC03_SP	SCC04_SP	SCC05_SP	SCC06_SP	SCC07_SP	SCC08_SP	G4KS_Q1A_11	G4KS_Q1B_11	G4KS_Q1C_11	G4KS_Q2A_11	G4KS_Q2B_11	G4KS_Q2C_11	G4KS_Q3A_11	G4KS_Q3B_11	G4KS_Q3C_11	G4KS_Q4A_11	G4KS_Q4B_11	G4KS_Q4C_11	G4KS_Q5A_11	G4KS_Q5B_11	G4KS_Q5C_11	G4KS_Q6A_11	G4KS_Q6B_11	G4KS_Q6C_11	G4KS_Q7A_11	G4KS_Q7B_11	G4KS_Q7C_11	G4KS_Q8A_11	G4KS_Q8B_11	G4KS_Q8C_11	G4KS_Q9A_11	G4KS_Q9B_11	G4KS_Q9C_11	G4KS_Q10A_11	G4KS_Q10B_11	G4KS_Q10C_11	G4KS_Q11A_11	G4KS_Q11B_11	G4KS_Q11C_11	G4KS_Q12A_11	G4KS_Q12B_11	G4KS_Q12C_11	G4KS_Q13A_11	G4KS_Q13B_11	G4KS_Q13C_11	G4KS_Q14A_11	G4KS_Q14B_11	G4KS_Q14C_11	G5KS_Q1A_11	G5KS_Q1B_11	G5KS_Q1C_11	G5KS_Q2A_11	G5KS_Q2B_11	G5KS_Q2C_11	G5KS_Q3A_11	G5KS_Q3B_11	G5KS_Q3C_11	G5KS_Q4A_11	G5KS_Q4B_11	G5KS_Q4C_11	G5KS_Q5A_11	G5KS_Q5B_11	G5KS_Q5C_11	G5KS_Q6A_11	G5KS_Q6B_11	G5KS_Q6C_11	G5KS_Q7A_11	G5KS_Q7B_11	G5KS_Q7C_11	G5KS_Q8A_11	G5KS_Q8B_11	G5KS_Q8C_11	G5KS_Q9A_11	G5KS_Q9B_11	G5KS_Q9C_11	G5KS_Q10A_11	G5KS_Q10B_11	G5KS_Q10C_11	G5KS_Q11A_11	G5KS_Q11B_11	G5KS_Q11C_11	G5KS_Q12A_11	G5KS_Q12B_11	G5KS_Q12C_11	G5KS_Q13A_11	G5KS_Q13B_11	G5KS_Q13C_11	G5KS_Q14A_11	G5KS_Q14B_11	G5KS_Q14C_11	G5KS_Q15A_11	G5KS_Q15B_11	G5KS_Q15C_11	G4KS_Q1A_12	G4KS_Q1B_12	G4KS_Q1C_12	G4KS_Q2A_12	G4KS_Q2B_12	G4KS_Q2C_12	G4KS_Q3A_12	G4KS_Q3B_12	G4KS_Q3C_12	G4KS_Q4A_12	G4KS_Q4B_12	G4KS_Q4C_12	G4KS_Q5A_12	G4KS_Q5B_12	G4KS_Q5C_12	G4KS_Q6A_12	G4KS_Q6B_12	G4KS_Q6C_12	G4KS_Q7A_12	G4KS_Q7B_12	G4KS_Q7C_12	G4KS_Q8A_12	G4KS_Q8B_12	G4KS_Q8C_12	G5KS_Q1A_12	G5KS_Q1B_12	G5KS_Q1C_12	G5KS_Q2A_12	G5KS_Q2B_12	G5KS_Q2C_12	G5KS_Q3A_12	G5KS_Q3B_12	G5KS_Q3C_12	G5KS_Q4A_12	G5KS_Q4B_12	G5KS_Q4C_12	G5KS_Q5A_12	G5KS_Q5B_12	G5KS_Q5C_12	G5KS_Q6A_12	G5KS_Q6B_12	G5KS_Q6C_12	G5KS_Q7A_12	G5KS_Q7B_12	G5KS_Q7C_12	G5KS_Q8A_12	G5KS_Q8B_12	G5KS_Q8C_12	G4KS_Q1A_13	G4KS_Q1B_13	G4KS_Q2A_13	G4KS_Q2B_13	G4KS_Q3A_13	G4KS_Q3B_13	G4KS_Q4A_13	G4KS_Q4B_13	G4KS_Q5A_13	G4KS_Q5B_13	G4KS_Q6A_13	G4KS_Q6B_13	G4KS_Q7A_13	G4KS_Q7B_13	G4KS_Q8A_13	G4KS_Q8B_13	G4KS_Q9A_13	G4KS_Q9B_13	G4KS_Q10A_13	G4KS_Q10B_13	G4KS_Q11A_13	G4KS_Q11B_13	G4KS_Q12A_13	G4KS_Q12B_13	G4KS_Q13A_13	G4KS_Q13B_13	G4KS_Q14A_13	G4KS_Q14B_13	G4KS_Q15A_13	G4KS_Q15B_13	G4KS_Q16A_13	G4KS_Q16B_13	G5KS_Q1A_13	G5KS_Q1B_13	G5KS_Q2A_13	G5KS_Q2B_13	G5KS_Q3A_13	G5KS_Q3B_13	G5KS_Q4A_13	G5KS_Q4B_13	G5KS_Q5A_13	G5KS_Q5B_13	G5KS_Q6A_13	G5KS_Q6B_13	G5KS_Q7A_13	G5KS_Q7B_13	G5KS_Q8A_13	G5KS_Q8B_13	G5KS_Q9A_13	G5KS_Q9B_13	G5KS_Q10A_13	G5KS_Q10B_13	G5KS_Q11A_13	G5KS_Q11B_13	G5KS_Q12A_13	G5KS_Q12B_13	G5KS_Q13A_13	G5KS_Q13B_13	G5KS_Q14A_13	G5KS_Q14B_13	G5KS_Q15A_13	G5KS_Q15B_13	G5KS_Q16A_13	G5KS_Q16B_13	G5KS_Q17A_13	G5KS_Q17B_13	ACCURACY	KOSM	ACCURACY_YR	KOSM_YR
12002	2011	1	1	1	5	1	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	0	999	999	1	999	999	1	999	999	1	0	999	999	1	999	999	999	999	999	999	999	999	2	2	1	1	2	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	70	1	4	80	2	3	65	3	4	70	1	4	80	1	4	75	1	3	80	2	4	30	3	2	50	2	4	80	3	4	50	3	4	75	3	4	60	4	4	60	4	4	65	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.730223238468	-.09647551924	.63962751627	-.087523393333
12002	2012	1	1	1	5	999	999	5	998	999	4	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	5	998	999	4	998	999	5	998	999	5	998	999	999	3	998	999	5	5	5	5	5	5	5	4	999	999	999	999	999	3	3	3	5	2	998	4	5	3	4	5	2	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	80	70	B	70	70	A	60	60	A	80	80	C	50	50	A	75	75	A	50	50	C	70	70	4134	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.730223238468	-.09647551924	.370308876038	-.020708454773
12002	2013	1	1	1	5	999	999	998	5	999	998	4	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	5	999	998	4	999	998	4	999	998	4	999	998	5	999	998	5	999	998	4	999	998	5	999	998	5	999	999	998	5	999	5	5	5	5	5	5	5	5	999	999	999	999	999	4	4	4	3	2	2	3	5	4	4	4	1	5	4	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	65	50	75	70	75	70	60	50	65	60	75	70	70	60	70	60	65	50	80	65	70	65	40	30	50	40	50	40	40	30	70	60	70	60	.730223238468	-.09647551924	.529900968075	 
12003	2011	1	0	0	4	1	1	999	999	0	999	999	0	999	999	0	999	999	0	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	0	999	999	0	999	999	0	999	999	1	999	999	1	999	999	0	999	999	1	999	999	0	999	999	0	999	999	1	999	999	1	0	999	999	1	999	999	999	999	999	999	999	999	1	1	1	1	1	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	70	3	4	80	2	4	10	3	2	70	2	4	5	2	1	70	3	4	60	3	3	 	3	3	70	2	4	60	3	3	60	1	4	40	4	3	40	4	2	40	4	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.110804282129	-.880810379982	.122817918658	-.84379285574
12004	2011	1	0	0	5	1	1	999	999	0	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	0	999	999	1	999	999	1	999	999	0	999	999	1	999	999	1	999	999	1	0	999	999	1	999	999	999	999	999	999	999	999	2	1	1	1	2	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	80	3	4	100	2	3	50	3	3	80	1	4	80	1	4	100	1	4	100	2	4	60	2	3	60	2	3	100	1	4	50	1	3	100	1	4	60	2	4	60	2	4	90	4	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.344331681728	-.18963971734	-.416602283716	-.170503273606
12005	2011	1	1	0	4	1	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	1	999	999	1	999	999	999	999	999	999	999	999	2	1	2	2	2	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	2	2	1	80	1	4	60	3	3	90	3	4	40	2	2	90	2	4	90	1	3	97	2	4	30	1	3	2	3	2	12	1	3	80	3	3	60	2	3	40	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.308084696531	-.505565345287	-.06277102232	-.242318347096
12005	2012	1	1	0	4	999	999	4	998	999	2	998	999	5	998	999	4	998	999	3	998	999	3	998	999	3	998	999	3	998	999	4	998	999	5	998	999	3	998	999	2	998	999	1	998	999	2	998	999	3	998	999	3	998	999	3	998	999	4	998	999	2	998	999	4	998	999	4	998	999	999	4	998	999	2	4	5	5	5	3	2	3	999	999	999	999	999	4	3	3	3	3	3	4	4	4	5	5	3	4	4	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	20	20	A	70	50	A	85	70	B	30	30	A	65	50	48	70	60	96	40	40	C	40	35	A	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.308084696531	-.505565345287	.697467505932	-1.48E-10
12006	2011	1	1	1	5	1	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	0	999	999	1	999	999	999	999	999	999	999	999	2	2	1	4	5	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	85	2	3	100	2	3	75	3	2	95	1	4	85	1	4	90	3	4	90	2	4	75	3	3	10	2	2	95	3	4	50	1	3	95	3	3	80	2	4	80	1	4	90	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.30375084281	.760562181473	-.319725006819	.541045188904
12006	2012	1	1	1	5	999	999	4	998	999	2	998	999	5	998	999	5	998	999	4	998	999	4	998	999	4	998	999	5	998	999	4	998	999	4	998	999	2	998	999	4	998	999	3	998	999	3	998	999	3	998	999	4	998	999	3	998	999	2	998	999	3	998	999	5	998	999	5	998	999	999	2	998	999	2	4	4	4	4	4	4	4	999	999	999	999	999	4	3	3	3	4	3	3	4	4	2	4	2	4	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	90	80	B	95	95	A	85	80	A	98	95	C	80	70	C	80	70	A	80	70	C	95	85	4134	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-.30375084281	.760562181473	-.160763427615	.329310536385
12006	2013	1	1	1	5	999	999	998	5	999	998	2	999	998	5	999	998	4	999	998	5	999	998	4	999	998	4	999	998	5	999	998	5	999	998	4	999	998	2	999	998	5	999	998	5	999	998	3	999	998	3	999	998	3	999	998	4	999	998	5	999	998	4	999	998	5	999	998	5	999	999	998	2	999	1	4	998	2	2	5	5	3	999	999	999	999	999	5	5	4	3	3	3	4	4	998	2	5	1	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	90	90	85	85	85	85	85	85	95	90	80	80	85	85	85	85	90	90	95	95	95	95	90	90	80	80	85	85	75	80	90	90	80	80	-.30375084281	.760562181473	-.251164227724	 
12007	2011	1	1	1	4	1	1	999	999	0	999	999	1	999	999	1	999	999	0	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	0	999	999	1	999	999	1	999	999	1	999	999	0	999	999	1	999	999	0	999	999	1	999	999	1	999	999	1	0	999	999	1	999	999	999	999	999	999	999	999	1	2	2	1	2	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	30	2	3	70	1	3	10	3	2	70	2	4	50	2	3	40	1	3	80	1	4	50	3	3	80	1	4	10	3	2	40	3	3	10	2	2	10	3	2	5	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.310152828693	.480830311775	.124234423041	.165852755308
12007	2012	1	1	1	4	999	999	5	998	999	2	998	999	4	998	999	5	998	999	3	998	999	3	998	999	3	998	999	3	998	999	4	998	999	5	998	999	5	998	999	2	998	999	1	998	999	2	998	999	4	998	999	3	998	999	1	998	999	4	998	999	2	998	999	3	998	999	3	998	999	999	1	998	999	2	5	5	4	4	3	3	5	999	999	999	999	999	4	4	4	3	2	3	3	3	4	3	3	3	4	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	10	B	75	60	A	50	50	B	40	30	A	40	40	44	80	80	24	60	40	A	30	30	C	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.310152828693	.480830311775	.312235146761	1.74E-10
12007	2013	1	1	1	4	999	999	998	3	999	998	2	999	998	5	999	998	4	999	998	3	999	998	3	999	998	2	999	998	3	999	998	4	999	998	3	999	998	4	999	998	1	999	998	1	999	998	2	999	998	2	999	998	1	999	998	2	999	998	3	999	998	1	999	998	3	999	998	1	999	999	998	1	999	4	4	4	4	4	4	1	3	999	999	999	999	999	4	4	3	3	3	5	4	3	4	2	3	3	4	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	10	10	10	50	40	20	20	55	45	2	5	50	40	40	40	10	10	20	20	60	60	30	30	60	60	50	40	10	10	20	20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.310152828693	.480830311775	.271699011326	 
12008	2011	1	1	1	4	1	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	0	999	999	0	999	999	0	999	999	0	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	999	999	1	1	999	999	1	999	999	999	999	999	999	999	999	2	1	1	1	2	998	998	998	998	998	998	998	998	998	998	998	998	998	998	998	60	2	3	75	3	4	25	2	3	75	2	3	25	2	3	70	3	4	80	1	4	25	3	4	50	2	3	40	1	3	40	1	3	35	2	3	60	1	3	35	2	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.559485793114	.137685000896	.438745826483	.220422878861
12008	2012	1	1	1	4	999	999	4	998	999	4	998	999	5	998	999	5	998	999	2	998	999	3	998	999	4	998	999	4	998	999	5	998	999	3	998	999	3	998	999	3	998	999	1	998	999	3	998	999	3	998	999	3	998	999	2	998	999	3	998	999	1	998	999	3	998	999	2	998	999	999	2	998	999	3	3	4	4	4	3	2	3	999	999	999	999	999	3	3	2	3	2	2	3	2	3	2	4	1	4	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	40	40	A	50	50	A	60	60	B	30	30	A	40	40	44	30	30	6	40	40	C	10	10	A	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.559485793114	.137685000896	.649117350578	-4.1E-11
12008	2013	1	1	1	4	999	999	998	5	999	998	5	999	998	5	999	998	4	999	998	3	999	998	4	999	998	4	999	998	4	999	998	4	999	998	4	999	998	4	999	998	3	999	998	1	999	998	3	999	998	3	999	998	3	999	998	3	999	998	4	999	998	2	999	998	4	999	998	4	999	999	998	3	999	4	4	4	4	4	4	2	4	999	999	999	999	999	3	3	2	3	5	5	3	4	3	1	4	998	5	4	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	25	25	60	60	75	75	70	70	60	60	60	60	60	60	25	25	50	50	50	50	70	70	65	65	70	70	65	65	50	50	60	60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	.559485793114	.137685000896	.272245198488	 
